avg_sunshine,avg_rain,nitrogen,potash,phosphate,production
380,25.83333333,98034,22773,69604,410.63
544.7,41.13333333,85611,18846,36507,387.78
604.2,43.26666667,91046,18521,39243,418.62
795.5,57.94166667,103501,23837,45302,408.13
597.9,47.46666667,84680,17130,43675,341.44
932,54.5,56967,21330,39964,122.68
713,48.66666667,58185,19092,45072,117.95
860.3,58.21666667,64193,24715,41282,154.93
534,47.08333333,66923,27313,51686,102.5
791.7,50.13333333,70413,31765,60494,95.47
873,60,78970,24660,58408,133.81
744,53.41666667,96206,24389,77132,137.78
686.3,43.89166667,69090,14298,30441,155.57
909.6,61.25,80132,18887,40640,157.35
1031,63.08333333,70219,29821,29547,145.98
867,54.41666667,76241,32020,37142,99.25
944.9,60.39166667,79642,33296,29910,100.52
921,67.25,88002,56100,56443,93.41
1216.2,68.74166667,99266,58403,58084,84.04
1190,71.5,101487,46713,64120,135.88
1153,75.41666667,101386,35744,62121,132.5
561,37.28333333,86336,28451,32350,95.08
774.1,45.73333333,92843,29590,41720,123.84
976.8,58.93333333,92481,36446,38556,176.69
616,39.91666667,50442,20609,26766,0.71
591,47.66666667,61310,19408,32611,0.43
626,48.41666667,60686,18782,29197,0.26
360,29.08333333,68952,27502,41402,0.31
917.1,74.75,77842,31934,45318,0.46
588,41.91666667,79505,29966,49953,0.59
356,22.91666667,89767,23897,59476,0.47
427.9,28.98333333,76796,23388,33345,0.38
612.7,40.875,80918,22493,37078,0.31
596.3,41.8,74871,28122,38052,0.23
456.1,37.41666667,79543,16555,38795,0.23
988.8,52.98333333,14962,1961,5995,5.54
827,55.16666667,102236,38458,57449,698.79
563,45.16666667,93110,30243,51340,655.51
707.8,54.31666667,114576,51051,51359,743.07
348,31.83333333,114482,39979,64152,786.48
1178.6,97.1,126635,52307,70310,737.75
653,43,151135,46026,103845,787.56
358,22.08333333,154851,43364,106305,660.4
411.9,27.05,139690,28573,54514,735.3
757.1,52.66666667,134118,31893,59898,836
651.5,49.075,154184,44036,71510,733.65
568.2,44.6,123951,29914,66207,527.46
877,56.08333333,44168,11261,34608,249.49
593,45.25,48051,12114,36575,188.81
764.2,56.64166667,46674,13153,29153,223.25
535,39.58333333,54701,14893,45136,216.61
861.6,68.05,65468,23486,51561,180.69
881,53.08333333,66116,17666,56727,205.31
593,33.08333333,65757,11768,62120,139.12
667.7,43.65833333,56063,11111,34538,90.94
838.9,53.83333333,59590,11337,34239,147.94
735.6,52.625,68635,19222,46672,225.47
595.3,44.45833333,68344,9597,50293,108.01
3830,229.5,8426,10958,5242,285.86
4034,254.3333333,9498,10920,5153,292.41
4076,256.7916667,8138,12173,4435,275.29
3190,210.25,9778,8338,5586,274.39
3815.9,178.8833333,10673,9588,7237,262.34
4471,266.5833333,11914,7657,6338,261.18
4293,265.3333333,10702,8445,5633,268.07
3374.8,224.5,10654,6436,4462,268.86
4284.6,236.5916667,9056,5224,3739,288.23
3704.1,214.6083333,11462,8284,5712,270.35
3289.3,189.6833333,10512,8148,5753,253.36
3057,161.8333333,5863,3339,3798,166.65
3240,200.5,6209,3288,4314,163.02
3491.5,223.4166667,5917,3290,3558,163.29
2574,171.9166667,8421,4147,6621,122.44
3103.7,140.925,8060,3974,7088,155.25
2879,155.9166667,7517,4506,5084,150.72
3237,191.3333333,7479,2501,6159,155.4
3034.9,187.0083333,6021,2163,2789,150.07
3649.2,177.5916667,7263,2211,3245,170.32
3289.8,176.4416667,8111,2954,4327,152.7
2135.7,137.8,10040,3362,4547,111.64
3327,183.9166667,13122,12474,8776,81.22
2932,175.0833333,15991,11001,9223,85.32
3760.1,206.9916667,15964,12256,9860,95.48
2116,142.0833333,17791,13677,10824,84.78
2500.9,98.56666667,19661,21108,12556,85.14
2647,159.6666667,21604,15030,15503,93.45
3077,196.5,20817,16785,19071,93.23
1807.7,120.3333333,14257,12043,7733,77.78
3031.3,155.1333333,18302,12656,11060,92.21
2630,140.35,19627,14582,11158,86.9
2486.6,173.6333333,22217,17542,13246,76.49
902.6,68.95833333,42189,6873,14687,645.34
905.3,64.16666667,43956,7630,14125,843.36
907.8,71.40833333,42130,6869,14755,716.1
2256.8,179.55,44942,7797,16786,748.5
1901.9,155.075,71970,34392,37601,730.28
1350.2,109.35,71220,28220,35413,888.49
1222.4,93.19166667,55950,24614,20693,815.45
1836.8,148.15,67720,37549,20707,675.02
1068.8,83.95,72927,38121,25485,790.79
1547,125.8916667,80610,37203,31272,813.52
-1,15.38333333,94592,29852,39832,719.86
882.8,68.95,90108,19499,34128,735.82
977.7,78.3,87590,21849,28359,1362.57
1217.9,98.025,94608,27515,32796,1474.55
1705.7,135.2,105656,24957,36848,1280.44
4508,368.2416667,53759,17936,23817,560.98
884.6,70.85,59161,18618,26736,495.24
1145.9,79.99166667,59285,26904,23876,534.28
857.9,65.60833333,71039,32173,21804,489.81
1096.8,85.98333333,64225,29299,25559,460.81
953.1,69.15,71662,26532,28271,510.52
-1,11.53333333,78168,21973,33891,453.75
809.9,56.65,75547,15918,26116,478.31
792.6,61.55,68177,15076,20806,551.9
685.7,51.36666667,61652,14509,20789,633.96
1359.2,108.55,83073,15341,27642,752.96
1216,94.49166667,35249,29685,19773,349.33
915.2,73.76666667,50315,29250,26827,284.6
952.8,69.89166667,49432,32018,25940,235.45
1107.4,84.3,62134,41013,29175,317.71
1020.4,81.14166667,60407,36026,33002,297.07
1239.3,93.95,64046,43575,38045,365.08
-1,17.84166667,73319,30890,46145,380.75
831.5,61.00833333,57696,20789,30013,199.06
830.9,65.475,50209,18903,24409,423.97
857.7,69.625,61297,23226,27280,345.33
1135.3,91.95,67254,23667,34285,434.67
1334.9,104.8583333,61252,38386,27956,253.24
765.6,61.94166667,58951,37810,29953,308
