forecase,reality,interpolation
202.41000000000003,425.83790000000005,223.42790000000002
861.3,798.3481999999999,62.95180000000005
613.36,516.8239999999998,96.53600000000017
249.49,299.43060000000014,49.94060000000013
404.65,430.62599999999986,25.975999999999885
807.73,517.4615999999999,290.26840000000016
185.28000000000003,258.8082,73.52819999999997
270.24,247.45550000000014,22.784499999999866
574.85,414.5254999999998,160.32450000000023
242.15000000000003,310.46339999999987,68.31339999999983
67.57,164.03670000000005,96.46670000000006
58.06,236.18789999999984,178.12789999999984
291.01,383.6060999999999,92.59609999999992
53.99,182.25589999999988,128.26589999999987
272.02,488.4178999999998,216.39789999999982
419.4,319.2348,100.16519999999997
551.9,362.87609999999995,189.02390000000003
270.35,202.7383999999999,67.61160000000012
78.09,389.68270000000007,311.59270000000004
247.99,375.3207000000002,127.3307000000002
52.37,226.44109999999984,174.07109999999983
844.03,589.2548000000004,254.7751999999996
762.64,504.9809999999999,257.6590000000001
105.0,256.24809999999985,151.24809999999985
753.86,331.9537,421.9063
630.32,516.3751000000001,113.94489999999996
199.33000000000004,379.5236999999998,180.19369999999975
349.52,428.8591999999999,79.33919999999989
333.14,220.21950000000004,112.92049999999995
957.31,531.2848999999999,426.02510000000007
353.28,159.4029999999999,193.87700000000007
196.03000000000003,362.95559999999995,166.92559999999992
352.06,321.8481999999999,30.211800000000096
234.63,209.24310000000008,25.386899999999912
261.5,379.80570000000006,118.30570000000006
111.98,163.23590000000007,51.25590000000007
704.07,466.07280000000026,237.9971999999998
435.69,699.3828999999998,263.69289999999984
749.79,554.7139999999996,195.07600000000036
259.08,422.8912999999998,163.8112999999998
92.21,136.30809999999997,44.098099999999974
617.83,513.6930999999998,104.1369000000002
518.98,308.84150000000017,210.13849999999985
424.21,250.54049999999995,173.66950000000003
308.0,259.55300000000005,48.446999999999946
144.43,249.26630000000006,104.83630000000005
194.12,179.65279999999996,14.467200000000048
721.74,471.6394999999997,250.1005000000003
568.41,716.8194,148.4094
846.82,719.0077999999994,127.81220000000064
811.07,626.0316000000003,185.0383999999998
452.95,413.9239,39.026099999999985
186.5,264.06200000000007,77.56200000000007
985.5,693.0919000000002,292.40809999999976
225.47000000000003,256.96250000000003,31.492500000000007
364.38,411.21719999999993,46.83719999999994
437.8,602.5781999999997,164.77819999999969
257.4,296.8849999999999,39.4849999999999
93.3,496.6902999999999,403.3902999999999
802.94,578.7835999999999,224.1564000000002
482.89,424.66679999999985,58.22320000000013
123.72,308.29019999999997,184.57019999999997
240.11,330.09409999999997,89.98409999999996
992.44,583.7144999999999,408.7255000000001
109.3,214.07170000000002,104.77170000000002
59.72,193.18170000000003,133.46170000000004
517.33,440.80219999999974,76.5278000000003
607.61,539.7234999999998,67.88650000000018
419.46,323.1943000000001,96.26569999999987
489.81,325.84670000000006,163.96329999999995
642.93,491.1203000000004,151.80969999999957
122.68,259.7445000000001,137.06450000000007
299.87999999999994,262.6831999999999,37.19680000000005
334.55,538.0878999999998,203.53789999999975
408.13,702.8367000000002,294.7067000000002
836.0,721.7218,114.27819999999997
486.75,353.16349999999994,133.58650000000006
730.28,550.9857999999999,179.29420000000005
108.36,288.25339999999994,179.89339999999993
614.5,526.2086,88.29139999999995
345.23,199.73459999999994,145.49540000000007
84.24,190.34840000000008,106.10840000000009
167.75,310.37139999999994,142.62139999999994
805.35,473.5865999999999,331.7634000000001
432.12,475.45620000000025,43.33620000000025
698.95,664.2079999999997,34.7420000000003
92.66,266.48689999999993,173.82689999999994
483.14,485.5948,2.4548000000000343
729.45,329.22989999999993,400.2201000000001
85.14,218.2362,133.0962
148.69,251.1115999999999,102.4215999999999
410.49,333.52520000000015,76.96479999999985
565.59,310.35269999999997,255.23730000000006
658.04,539.9591,118.08089999999993
406.96,334.64659999999986,72.31340000000012
598.26,383.49490000000003,214.76509999999996
98.43,255.33780000000002,156.9078
90.48,156.2092,65.7292
771.09,609.6169999999997,161.4730000000003
146.54,316.81109999999995,170.27109999999996
211.94,225.04100000000005,13.101000000000056
459.0,388.9145000000001,70.08549999999991
534.89,524.6212999999999,10.26870000000008
649.89,470.4709999999998,179.4190000000002
239.40000000000003,197.08849999999995,42.31150000000008
372.6,384.3964000000001,11.796400000000062
524.0,503.45020000000017,20.549799999999834
78.2,231.4724000000001,153.27240000000012
173.33,224.72379999999993,51.39379999999991
147.94,297.03500000000014,149.09500000000014
184.64,514.5172,329.8772
272.65,405.17509999999993,132.52509999999995
634.34,223.6968999999999,410.6431000000001
136.1,462.38740000000007,326.28740000000005
910.11,571.5199,338.5901
344.38,370.44379999999995,26.063799999999958
235.25,302.7073000000001,67.45730000000009
82.67,157.39909999999998,74.72909999999997
239.34000000000003,422.5380000000002,183.19800000000015
155.57,270.2333000000001,114.6633000000001
407.37,386.8406,20.52940000000001
143.95,290.3512000000002,146.4012000000002
803.55,439.8541999999999,363.6958000000001
325.11,247.36309999999992,77.7469000000001
309.77,268.5472,41.22280000000001
570.58,461.45770000000033,109.12229999999971
381.03,225.00139999999993,156.02860000000004
613.59,608.6422000000001,4.947799999999916
273.22,359.13880000000006,85.91880000000003
253.2,229.0075000000001,24.19249999999988
218.16000000000003,193.24369999999993,24.916300000000092
